,feature,rmse
283,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_23",118.97064188688543
284,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_24",118.91339110519205
285,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_25",118.80909616355564
286,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_26",118.40093529060769
287,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_27",118.99424791594713
288,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_28",118.51752877604079
289,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_29",119.16544421339215
290,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_30",118.4583865318202
291,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_0",118.49882441008222
292,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_2",154.53297298033047
293,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_3",133.66166402479237
294,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_4",125.17655800412261
295,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_5",125.5320996478369
296,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_6",122.44356651307496
297,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_7",117.53664806421227
298,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_8",116.52298389577845
299,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_9",116.91359192946727
300,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_10",121.38528792174873
301,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_11",120.6174028608581
302,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_12",118.09919711531622
303,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_13",121.99143936994606
304,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_14",118.25189107099752
305,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_15",117.82348731547262
306,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_16",118.88233659538538
307,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_17",118.19393233840263
